"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","WESD","WESD_ATTRIBUTES"
"US1COEL0079","2017-09-12","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    5",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-09-13","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-09-14","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-09-15","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","   25",",,N",,,,,,,,
"US1COEL0079","2017-09-16","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-09-17","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-09-18","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","   25",",,N",,,,,,,,
"US1COEL0079","2017-09-19","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-09-20","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-09-21","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-09-22","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-09-23","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-09-24","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","  206",",,N",,,,,,,,
"US1COEL0079","2017-09-25","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","   43",",,N",,,,,,,,
"US1COEL0079","2017-09-26","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","   13",",,N",,,,,,,,
"US1COEL0079","2017-09-27","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    8",",,N",,,,,,,,
"US1COEL0079","2017-09-28","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","   97",",,N",,,,,,,,
"US1COEL0079","2017-09-29","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-09-30","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-10-01","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-10-02","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-10-03","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-10-04","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","   13",",,N",,,,,,,,
"US1COEL0079","2017-10-05","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    3",",,N",,,,,,,,
"US1COEL0079","2017-10-06","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-10-07","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-10-08","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-10-09","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","   56",",,N",,,,,,,,
"US1COEL0079","2017-10-10","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","   58",",,N",,,,,,,,
"US1COEL0079","2017-10-11","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-10-12","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-10-13","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-10-14","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-10-15","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-10-16","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-10-17","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-10-18","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-10-19","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-10-20","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-10-21","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-10-22","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-10-23","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-10-24","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-10-25","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-10-26","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-10-27","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-10-28","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-10-29","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-10-30","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    5",",,N",,,,,,,,
"US1COEL0079","2017-10-31","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-11-01","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-11-02","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-11-03","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-11-04","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-11-05","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-11-06","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-11-07","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-11-08","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    5",",,N",,,,,,,,
"US1COEL0079","2017-11-09","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-11-10","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-11-11","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-11-12","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-11-13","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-11-14","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-11-15","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-11-16","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-11-17","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-11-18","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","   74",",,N",,,,,,,,
"US1COEL0079","2017-11-19","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-11-20","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-11-21","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    3",",,N",,,,,,,,
"US1COEL0079","2017-11-22","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    5",",,N",,,,,,,,
"US1COEL0079","2017-11-23","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-11-24","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-11-25","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-11-26","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-11-27","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-11-28","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-11-29","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-11-30","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-12-01","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-12-02","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-12-03","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-12-04","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-12-05","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-12-06","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-12-07","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-12-08","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-12-09","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-12-10","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-12-11","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-12-12","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-12-13","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-12-14","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","   15",",,N",,,,,,,,
"US1COEL0079","2017-12-15","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-12-16","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-12-17","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-12-18","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-12-19","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-12-20","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-12-21","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-12-22","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    5",",,N",,,,,,,,
"US1COEL0079","2017-12-23","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-12-24","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","   20",",,N",,,,,,,,
"US1COEL0079","2017-12-25","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-12-26","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-12-27","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-12-28","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-12-29","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-12-30","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2017-12-31","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-01-01","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-01-02","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-01-03","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-01-04","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-01-05","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-01-06","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-01-07","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-01-08","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-01-09","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-01-10","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-01-11","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","   53",",,N",,,,,,,,
"US1COEL0079","2018-01-12","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-01-13","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-01-14","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-01-15","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-01-16","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","   10",",,N",,,,,,,,
"US1COEL0079","2018-01-17","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-01-18","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-01-19","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-01-20","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-01-21","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-01-22","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","   69",",,N",,,,,,,,
"US1COEL0079","2018-01-23","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-01-24","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-01-25","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-01-26","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-01-27","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-01-28","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-01-29","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-01-30","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-01-31","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-02-01","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-02-02","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-02-03","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-02-04","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-02-05","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-02-06","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-02-07","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-02-08","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-02-09","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-02-10","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-02-11","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","   13",",,N",,,,,,,,
"US1COEL0079","2018-02-12","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-02-13","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-02-14","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-02-15","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-02-16","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","   25",",,N",,,,,,,,
"US1COEL0079","2018-02-17","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-02-18","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-02-19","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    3",",,N",,,,,,,,
"US1COEL0079","2018-02-20","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","   38",",,N",,,,,,,,
"US1COEL0079","2018-02-21","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-02-22","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-02-23","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    5",",,N",,,,,,,,
"US1COEL0079","2018-02-24","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-02-25","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-02-26","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-02-27","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-02-28","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-03-06","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US",,,,,"    6",",,N","    0",",,N",,
"US1COEL0079","2018-03-07","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-03-08","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-03-09","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-03-10","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-03-11","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-03-12","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-03-13","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-03-14","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-03-15","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-03-16","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    8",",,N",,,,,,,,
"US1COEL0079","2018-03-17","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-03-18","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-03-19","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","   20",",,N",,,,,,,,
"US1COEL0079","2018-03-20","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-03-21","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-03-22","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-03-23","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
"US1COEL0079","2018-03-25","39.390767365694","-104.362826272845","1881.2","KIOWA 6.1 ENE, CO US","    0",",,N","    0",",,N",,,,,,
